id,word,plural,cmuarpaInputIds,cmuarpaPluralInputIds,cmuarpaVisemes,cmuarpaPluralVisemes
00b82441-54df-45fa-9456-398c6b5ac0df,legit,legits,"[64, 41, 62, 55, 80]","[64, 41, 62, 55, 80, 78]","['S', 'E', 'S', 'E', 'S']","['S', 'E', 'S', 'E', 'S', 'S']"
00bbe12f-21c1-4767-929e-349c113c6134,morgue,morgues,"[65, 25, 77, 52]","[65, 25, 77, 52, 93]","['F', 'O', 'Q', 'S']","['F', 'O', 'Q', 'S', 'S']"
00c93421-1f07-4f08-8f03-0f5874184623,viking,vikings,"[90, 33, 63, 55, 67]","[90, 33, 63, 55, 67, 93]","['F', 'A', 'S', 'E', 'S']","['F', 'A', 'S', 'E', 'S', 'S']"
00ca0ff5-928e-4e8f-b85a-438b2fa3487d,suspended,suspendeds,"[78, 20, 78, 76, 41, 66, 37, 20, 37]","[78, 20, 78, 76, 41, 66, 37, 55, 37, 93]","['S', 'A', 'S', 'F', 'E', 'S', 'S', 'A', 'S']","['S', 'A', 'S', 'F', 'E', 'S', 'S', 'E', 'S', 'S']"
00cbbd3c-11e8-415e-bc7e-c30c280b20eb,abstraction,abstractions,"[16, 35, 78, 80, 77, 17, 63, 79, 20, 66]","[16, 35, 78, 80, 77, 17, 63, 79, 20, 66, 93]","['A', 'S', 'S', 'S', 'Q', 'A', 'S', 'S', 'A', 'S']","['A', 'S', 'S', 'S', 'Q', 'A', 'S', 'S', 'A', 'S', 'S']"
00cdc6b4-d099-4646-b863-92f11bb49e15,proud,prouds,"[76, 77, 29, 37]","[76, 77, 29, 37, 93]","['F', 'Q', 'O', 'S']","['F', 'Q', 'O', 'S', 'S']"
00d42ce0-b3b9-4f7e-aaf5-ed3562e24d00,adhere,adheres,"[20, 37, 53, 56, 77]","[20, 37, 53, 56, 77, 93]","['A', 'S', 'A', 'E', 'Q']","['A', 'S', 'A', 'E', 'Q', 'S']"
00d53c67-277d-4995-8f39-eb0b0d05cc6f,laughable,laughables,"[64, 17, 51, 20, 35, 20, 64]","[64, 17, 51, 20, 35, 20, 64, 93]","['S', 'A', 'F', 'A', 'S', 'A', 'S']","['S', 'A', 'F', 'A', 'S', 'A', 'S', 'S']"
00da4997-0cc1-4c31-a6b6-4508cf136723,delicately,delicatelies,"[37, 41, 64, 20, 63, 20, 80, 64, 59]","[37, 42, 64, 20, 63, 20, 80, 41, 64, 20, 80, 78]","['S', 'E', 'S', 'A', 'S', 'A', 'S', 'S', 'E']","['S', 'E', 'S', 'A', 'S', 'A', 'S', 'E', 'S', 'A', 'S', 'S']"
00def764-2c6d-4420-87f6-01904d417ffe,greatest,greatest,"[52, 77, 49, 80, 20, 78, 80]","[52, 77, 49, 80, 20, 78, 80]","['S', 'Q', 'A', 'S', 'A', 'S', 'S']","['S', 'Q', 'A', 'S', 'A', 'S', 'S']"
