id,word,plural,syllable,syllablePlural,ukipa,usipa,ukipaPlural,usipaPlural,inUse,pluralInUse
0188f142-352a-4de5-84bf-61f8ad6cccfd,them,them,them,them,ðɛm,ðɛm,ðɛm,ðɛm,TRUE,TRUE
018f0f36-41cd-4abe-8d28-885bb96ffa36,pot,pots,pot,pots,pɑːt,pɑːt,pɒts,pɑts,TRUE,TRUE
01908436-3c58-4918-8806-600a09c9c81f,jeep,jeeps,jeep,jeeps,dʒiːp,dʒiːp,dʒiːps,dʒips,FALSE,FALSE
019525ce-a225-4dd9-8fe2-b974e3798029,consortium,consortiums,con.sor.ti.um,con.sor.ti.ums,kən.sɔːɹ.ti.əm,kən.sɔːɹ.ti.əm,,,FALSE,FALSE
019af65a-b508-4c88-b909-033c516551ec,above,aboves,a.bove,a.boves,ə.bʌv,ə.bʌv,,,TRUE,FALSE
019d4d22-e6ee-4612-b45d-aabdeb431450,prompt,prompts,prompt,prompts,pɹɑːmpt,pɹɑːmpt,pɹɒmpts,pɹɑmpts,FALSE,FALSE
01aa49cf-b0ad-41f3-8c8d-6141fdf79a2b,plush,plushes,plush,plushes,plʌʃ,plʌʃ,ˈplʌʃɪz,ˈplʌʃɪz,FALSE,FALSE
01b0cd72-9e53-4cb1-994d-908a5bf3e4db,counteract,counteracts,coun.ter.act,coun.ter.acts,kaʊn.tɚ.ækt,kaʊn.tɚ.ækt,,,FALSE,FALSE
01b67e8f-4891-4f5f-b525-5206349575df,divulge,divulges,di.vulge,di.vulges,,,,,FALSE,FALSE
01b69c2f-52a4-464f-9bbf-ae5485470d4b,experiment,experiments,ex.per.i.ment,ex.per.i.ments,ɛk.spɛɹ.ə.mənt,ɪk.spɛɹ.ə.mənt,ɛk.spɛɹ.ə.məntz,ɪk.spɛɹ.ə.məntz,FALSE,TRUE
01b70e98-92d7-4b80-b5fa-6598116510d2,lolly,lollies,lol.ly,lol.lies,lɒl.i,lɒl.i,lɒl.iz,lɒl.iz,TRUE,TRUE
01c32ed0-6779-4657-a025-4b2440443fb8,specimen,specimens,spec.i.men,spec.i.mens,spɛs.ə.mɪn,spɛs.ə.mɪn,,,FALSE,FALSE
01c59967-449b-4596-91b5-b00f41f73814,thru,thrus,thru,thrus,θɹuː,θɹuː,θɹuːz,θɹuz,FALSE,FALSE
01c63641-c3ab-4a37-9d14-c1a1c5406bc6,jurassic,jurassic,ju.ras.sic,ju.ras.sic,dʒʊ.ɹæs.ɪk,dʒʊ.ɹæs.ɪk,,,TRUE,TRUE
01c95f7d-d000-4fe4-bd20-5dde656c60ba,intrinsic,intrinsics,in.trin.sic,in.trin.sics,ɪn.tɹɪn.zɪk,ɪn.tɹɪn.zɪk,,,FALSE,FALSE
01c97293-1f6b-4eb2-8897-71350807cfe7,cry,cries,cry,cries,kɹaɪ,kɹaɪ,kɹaɪz,kɹaɪz,TRUE,TRUE
01ca0671-4daf-4e11-998a-5f8f74796d45,raised,raiseds,raised,raiseds,ɹɛɪzd,ɹɛɪzd,ɹɛɪzdz,ɹɛɪzdz,TRUE,FALSE
01ca39e3-e515-4ff2-bdc5-7086d7eb73ed,nucleus,nuclei,nu.cle.us,nu.cle.i,nuː.kli.əs,nuː.kli.əs,,,FALSE,FALSE
