engine,sentence_id,repeat,wall_s,audio_s,rtf,peak_rss_mb,voice_id,has_phoneme_timings
pockettts_adapter,s60,2,5.637920708999445,9.6,0.5872834071874422,799.265625,alba,False
pockettts_adapter,s120,0,9.849786708000464,26.8,0.3675293547761367,929.234375,alba,False
pockettts_adapter,s120,1,10.061921708000227,27.6,0.3645623807246459,933.875,alba,False
pockettts_adapter,s120,2,10.151423790999615,27.84,0.3646344752514229,933.15625,alba,False
pockettts_sherpa_adapter,s05,0,2.6505734579986893,0.64,4.141521028122952,761.34375,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s05,1,2.4903733749997627,0.72,3.458851909721893,773.140625,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s05,2,2.5845829579993733,0.72,3.5896985527769076,771.71875,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s15,0,2.820015416999013,2.64,1.0681876579541714,834.96875,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s15,1,2.833949374999065,2.48,1.1427215221770424,828.75,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s15,2,2.8046597909997217,2.48,1.1309112060482749,827.984375,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s30,0,3.239318791998812,4.717375,0.6866782462701847,854.46875,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s30,1,3.299249249999775,4.96,0.6651712197580192,848.171875,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s30,2,3.397292749999906,5.68,0.5981149207746314,858.703125,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s60,0,4.227826250000362,10.48,0.403418535305378,836.765625,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s60,1,4.361634041999423,10.56,0.4130335267044908,842.59375,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s60,2,4.335170041998936,9.92,0.4370131090724733,848.765625,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s120,0,7.654602750000777,26.099375,0.2932868220024723,887.0,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s120,1,7.508187541998268,26.20841666666667,0.2864800127948058,871.28125,pocket-tts/sherpa-int8/bria,False
pockettts_sherpa_adapter,s120,2,7.490101165998567,26.098375,0.2869949246264783,878.59375,pocket-tts/sherpa-int8/bria,False
zipvoice_sherpa_adapter,s05,0,4.14087866599948,0.672,6.162021824403988,618.203125,zipvoice/sherpa-int8-distill@bookbot_s15_prompt,False
